iter	Passed	Remaining
1027	7346	6946
1028	7349	6934
1029	7351	6923
1030	7354	6911
1031	7361	6905
1032	7366	6895
1033	7371	6887
1034	7375	6876
1035	7377	6864
1036	7379	6853
1037	7386	6845
1038	7390	6835
1039	7392	6823
1040	7394	6812
1041	7396	6800
1042	7402	6792
1043	7405	6780
1044	7407	6769
1045	7409	6757
1046	7411	6746
1047	7417	6738
1048	7420	6726
1049	7422	6715
1050	7424	6704
1051	7426	6692
1052	7434	6686
1053	7437	6675
1054	7447	6670
1055	7450	6660
1056	7452	6648
1057	7454	6637
1058	7457	6626
1059	7462	6617
1060	7465	6606
1061	7467	6595
1062	7469	6584
1063	7471	6572
1064	7477	6564
1065	7479	6553
1066	7482	6542
1067	7484	6531
1068	7486	6520
1069	7492	6512
1070	7495	6501
1071	7497	6490
1072	7499	6479
1073	7501	6468
1074	7507	6460
1075	7510	6449
1076	7512	6438
1077	7515	6427
1078	7518	6417
1079	7528	6413
1080	7530	6402
1081	7535	6393
1082	7538	6383
1083	7541	6372
1084	7543	6361
1085	7545	6350
1086	7550	6342
1087	7553	6331
1088	7556	6321
1089	7558	6310
1090	7561	6299
1091	7567	6292
1092	7570	6281
1093	7572	6270
1094	7574	6260
1095	7576	6249
1096	7583	6242
1097	7585	6231
1098	7587	6220
1099	7589	6209
1100	7592	6199
1101	7598	6192
1102	7600	6181
1103	7603	6170
1104	7605	6159
1105	7610	6151
1106	7613	6141
1107	7615	6130
1108	7617	6120
1109	7619	6109
1110	7624	6100
1111	7627	6090
1112	7630	6080
1113	7633	6071
1114	7641	6065
1115	7645	6055
1116	7652	6049
1117	7656	6040
1118	7658	6029
1119	7661	6019
1120	7667	6011
1121	7671	6002
1122	7676	5995
1123	7684	5988
1124	7686	5978
1125	7688	5968
1126	7691	5957
1127	7696	5949
1128	7699	5940
1129	7702	5929
1130	7705	5920
1131	7710	5912
1132	7715	5903
1133	7721	5896
1134	7728	5889
1135	7731	5880
1136	7733	5870
1137	7736	5859
1138	7741	5851
1139	7744	5842
1140	7747	5832
1141	7749	5822
1142	7754	5814
1143	7759	5805
1144	7764	5797
1145	7771	5791
1146	7774	5781
1147	7777	5771
1148	7779	5761
1149	7785	5754
1150	7788	5745
1151	7790	5734
1152	7794	5725
1153	7804	5721
1154	7817	5719
1155	7820	5709
1156	7822	5699
1157	7825	5690
1158	7831	5682
1159	7834	5673
1160	7836	5663
1161	7840	5654
1162	7847	5647
1163	7853	5640
1164	7860	5634
1165	7864	5625
1166	7870	5618
1167	7881	5614
1168	7893	5611
1169	7896	5601
1170	7902	5594
1171	7905	5585
1172	7908	5575
1173	7911	5566
1174	7916	5558
1175	7921	5550
1176	7923	5540
1177	7927	5532
1178	7938	5527
1179	7941	5518
1180	7947	5511
1181	7950	5502
1182	7953	5492
1183	7955	5482
1184	7979	5488
1185	7982	5478
1186	7985	5469
1187	7987	5459
1188	7995	5453
1189	7998	5444
